id,gender,salary,doj
1055,M,14669.81,2023-08-12
1158,F,11250.89,2022-01-15
1751,F,15327.87,2023-01-20
1826,F,21617.0,2023-10-11
1413,M,18534.71,2020-07-13
1685,F,18590.44,2023-01-21
1699,M,13856.22,2023-08-20
1252,F,21111.85,2021-02-17
1497,F,14947.84,2023-03-09
1841,F,18994.71,2020-12-07
1830,M,12810.07,2022-01-30
1522,F,22119.97,2021-08-18
1114,M,10142.36,2021-11-16
1081,F,19628.73,2021-12-24
1697,M,16754.45,2023-02-26
1177,M,15637.39,2023-10-12
1935,M,13626.2,2022-08-28
1674,F,13339.23,2021-07-17
1014,F,16998.66,2021-01-22
1341,F,10539.94,2021-02-21
1335,F,21203.87,2022-05-29
1080,M,12749.25,2023-05-16
1720,F,15633.0,2023-09-26
1096,F,17995.52,2022-09-18
1130,F,19125.46,2022-12-16
1916,F,18717.94,2021-03-31
1228,M,10919.54,2021-05-03
1242,M,16725.37,2020-09-24
1419,F,14254.01,2022-04-26
1734,M,19525.68,2022-08-25
1461,M,17286.99,2021-10-16
1019,F,10883.33,2023-05-28
1724,M,13017.17,2022-08-30
1351,M,12477.59,2021-11-27
1982,F,19368.15,2023-08-28
1668,M,15624.66,2023-09-24
1893,M,11288.26,2021-05-20
1067,F,16762.31,2020-11-13
1108,M,11555.43,2020-04-12
1262,M,21457.97,2020-08-24
1774,M,15219.57,2020-02-01
1261,F,16516.62,2022-04-20
1217,M,10273.0,2022-01-05
1829,M,22151.43,2021-10-21
1975,M,19715.14,2023-12-31
1100,F,22712.69,2022-02-27
1382,F,15103.48,2022-09-26
1538,M,22945.84,2020-02-12
1402,F,17393.05,2023-05-03
1178,F,20964.02,2023-10-22
1367,M,15532.56,2021-07-02
1402,F,16277.89,2023-02-16
1050,M,11084.08,2020-08-25
1030,F,17861.7,2020-03-29
1224,F,15046.63,2020-03-17
1075,M,14083.2,2023-05-20
1309,M,21521.1,2023-12-28
1160,M,13844.91,2021-03-29
1960,F,14653.8,2020-08-07
1779,F,22377.74,2023-12-11
1048,M,16413.96,2020-05-03
1973,F,12442.43,2020-03-20
1528,F,20577.97,2022-10-01
1017,M,14506.28,2021-09-08
1809,F,13406.5,2023-12-06
1593,M,20605.22,2020-08-20
1082,F,21778.55,2022-06-26
1755,M,13901.89,2021-04-07
1136,M,17916.08,2021-07-04
1995,M,13221.49,2023-06-04
1695,F,22616.44,2021-06-13
1587,F,10894.66,2023-03-22
1142,F,19659.53,2021-11-21
1551,F,14813.78,2023-03-25
1056,M,14930.3,2023-11-07
1815,M,16685.38,2021-04-19
1001,F,12699.04,2023-02-16
1907,F,21344.25,2020-07-17
1128,M,20480.29,2021-08-03
1598,F,21090.04,2023-12-13
1668,M,19038.5,2023-01-24
1748,F,10306.05,2023-02-16
1304,M,13150.13,2023-07-28
1589,F,21010.13,2022-08-13
1291,M,22237.83,2021-01-27
1275,M,22888.49,2023-06-13
1234,M,17881.87,2020-03-17
1779,F,15560.63,2023-01-09
1131,F,22669.61,2020-11-08
1732,M,17474.76,2023-11-01
1680,M,15787.97,2020-12-21
1818,F,20645.22,2022-05-19
1045,M,22453.97,2020-07-25
1843,F,14751.18,2020-04-05
1992,F,14372.24,2021-11-26
1028,M,18098.37,2022-04-19
1497,M,10391.13,2021-02-02
1235,F,12511.62,2020-01-21
1022,F,17605.7,2020-02-17
1785,M,14542.35,2021-04-26
1933,F,11194.34,2022-02-18
1689,M,13978.55,2023-10-26
1812,M,19918.2,2023-03-22
1872,M,13520.24,2023-02-03
1227,F,19780.91,2020-02-03
1946,F,15235.0,2022-05-28
1976,F,16346.82,2020-01-03
1543,M,10120.41,2021-02-16
1703,F,20826.28,2023-09-22
1505,M,19156.18,2021-09-07
1517,F,21058.22,2020-07-29
1973,F,16149.9,2021-12-12
1511,M,18789.33,2022-03-23
1152,M,13375.33,2021-05-17
1350,M,19355.98,2020-05-28
1271,F,15303.28,2022-05-19
1090,M,21230.82,2023-02-18
1999,M,13324.14,2021-10-27
1991,M,11681.5,2020-05-24
1947,M,12902.27,2023-06-10
1537,F,22385.24,2022-07-12
1931,F,21282.74,2020-09-04
1730,F,18141.92,2020-11-06
1443,F,19987.12,2022-06-22
1792,F,10820.42,2020-05-07
1676,F,12416.91,2023-05-26
1059,M,11713.56,2020-01-09
1553,F,18750.58,2022-07-05
1953,M,17073.58,2021-09-01
1343,M,17772.52,2022-03-10
1272,M,17656.57,2023-11-20
1067,M,15901.43,2022-04-24
1702,M,16415.04,2022-11-20
1752,F,13469.79,2020-06-08
1103,F,14956.89,2021-07-11
1382,F,21289.17,2023-11-06
1705,M,10549.79,2020-06-06
1436,F,18205.02,2022-05-23
1237,F,10502.88,2022-05-17
1679,F,21043.27,2023-12-28
1775,F,17006.27,2020-08-06
1181,F,10995.29,2021-08-13
1071,M,19439.45,2022-10-08
1233,F,18092.46,2022-01-23
1054,M,12755.96,2021-04-01
1281,M,15936.54,2021-10-30
1971,F,20846.96,2020-02-18
1482,M,10024.0,2021-06-22
1276,F,11094.96,2023-04-10
1466,M,14882.13,2022-12-15
1456,M,19450.31,2022-08-17
1993,F,20689.2,2021-04-05
1869,F,11322.04,2021-04-29
1491,F,10771.76,2023-05-03
1835,M,22556.34,2023-06-18
1795,F,13782.67,2021-08-29
1697,M,21519.04,2020-09-13
1180,M,12897.62,2022-10-15
1755,F,14028.66,2022-02-18
1556,M,11459.08,2020-01-09
1079,M,10370.21,2022-07-20
1919,F,21078.49,2020-10-19
1009,M,20807.23,2022-02-27
1471,F,14255.19,2022-09-10
1449,F,17225.8,2020-05-04
1765,M,22255.47,2021-03-23
1671,M,19286.46,2021-02-08
1051,F,14708.86,2022-11-17
1193,F,16917.34,2021-09-21
1073,F,12185.52,2023-02-16
1287,M,17220.29,2020-09-30
1155,F,22663.98,2022-05-01
1099,M,18586.74,2022-06-02
1455,M,19527.03,2020-04-03
1165,F,14655.04,2021-10-20
1763,F,15456.58,2023-10-12
1380,F,14999.9,2022-06-27
1995,F,16884.66,2022-02-17
