id,gender,salary,doj
1380,M,20877.24,2023-01-13
1766,M,16652.48,2021-04-12
1685,F,22633.49,2021-10-19
1034,F,14937.48,2022-07-17
1819,F,20721.24,2023-06-20
1892,M,22117.61,2023-06-30
1637,F,16123.44,2020-11-10
1459,F,16258.32,2020-01-11
1696,M,17195.87,2020-10-04
1035,M,18951.36,2021-01-17
1004,M,17950.37,2022-03-02
1227,M,15295.53,2023-01-22
1692,F,10513.43,2022-09-12
1335,F,22597.76,2023-11-01
1439,M,21217.41,2023-03-03
1355,F,11094.63,2023-01-14
1475,M,13106.3,2023-05-31
1148,F,19596.57,2023-07-29
1640,F,15918.59,2020-08-19
1340,M,13219.67,2021-08-11
1700,M,11994.32,2020-03-06
1876,F,17959.42,2021-10-18
1040,M,12059.69,2022-12-30
1476,M,16626.33,2022-09-23
1774,F,16053.36,2021-03-06
1966,F,17365.47,2022-07-05
1127,M,15593.36,2023-02-08
1381,F,15551.25,2022-02-19
1316,F,20451.18,2021-08-07
1262,F,14722.0,2020-07-21
1216,F,18168.01,2023-10-01
1014,M,19529.18,2021-07-06
1527,M,21776.7,2023-05-11
1793,M,15499.49,2023-03-05
1615,M,13108.05,2022-09-26
1717,M,18966.11,2023-07-12
1843,M,14341.38,2022-04-08
1290,M,13491.79,2020-07-15
1648,F,13580.4,2023-05-19
1779,M,20405.19,2020-03-28
1620,F,21310.57,2023-04-17
1912,M,20507.06,2022-04-27
1089,F,14296.02,2020-10-10
1143,M,21822.93,2023-06-24
1012,F,13461.12,2023-08-05
1414,M,22548.56,2022-10-09
1065,F,18910.79,2020-12-17
1665,F,10440.63,2020-08-12
1206,M,21086.7,2020-08-01
1667,M,11411.47,2021-09-06
1789,M,14065.16,2022-08-22
1952,M,12512.57,2020-03-17
1318,M,19514.93,2022-04-14
1967,M,17335.67,2021-11-03
1889,F,21756.21,2023-07-25
1487,M,19914.02,2022-11-04
1837,F,20434.01,2022-12-11
1135,F,20153.55,2021-02-26
1788,M,11996.87,2022-05-31
1391,F,11931.2,2021-07-10
2000,M,19629.1,2022-04-07
1436,F,17993.55,2023-09-04
1376,F,12508.66,2021-07-08
1060,F,18050.56,2023-11-02
1625,F,17984.94,2022-01-18
1017,M,16378.1,2021-02-01
1600,M,17143.85,2022-08-15
1844,M,15623.11,2020-05-01
1598,M,17188.04,2023-10-09
1153,M,21338.24,2021-01-24
1149,F,12733.91,2022-08-21
1150,F,17368.15,2023-12-06
1115,M,17077.07,2022-03-15
1045,F,22442.8,2020-11-25
1188,F,15548.48,2022-01-23
1793,F,12263.09,2021-10-17
1317,F,11868.38,2023-02-09
1936,M,13101.27,2020-03-07
1183,F,13399.37,2023-03-21
1700,M,12738.36,2022-04-18
1466,F,18860.8,2020-09-22
1185,F,20115.43,2020-01-14
1442,F,11556.63,2023-10-28
1764,F,15908.01,2023-10-05
1993,F,21832.84,2022-02-08
1500,F,17444.02,2022-03-03
1253,M,12581.14,2020-07-12
1343,F,18626.18,2021-02-18
1738,F,15204.03,2023-09-28
1269,F,12924.51,2022-03-13
